epoch,test_acc,test_acc_device_id__d001,test_acc_device_id__d002,test_acc_device_id__d003,test_acc_language___language_independent,test_acc_language__francais,test_acc_language__maninka,test_acc_language__pular,test_acc_language__susu,test_acc_lng,test_acc_lng_device_id__d001,test_acc_lng_device_id__d002,test_acc_lng_device_id__d003,test_acc_lng_language___language_independent,test_acc_lng_language__francais,test_acc_lng_language__maninka,test_acc_lng_language__pular,test_acc_lng_language__susu,test_acc_lng_speaker_gender__F,test_acc_lng_speaker_gender__M,test_acc_lng_speaker_mothertongue__maninka,test_acc_lng_speaker_mothertongue__pular,test_acc_lng_speaker_mothertongue__susu,test_acc_speaker_gender__F,test_acc_speaker_gender__M,test_acc_speaker_mothertongue__maninka,test_acc_speaker_mothertongue__pular,test_acc_speaker_mothertongue__susu,test_loss,test_n,test_n_device_id__d001,test_n_device_id__d002,test_n_device_id__d003,test_n_language___language_independent,test_n_language__francais,test_n_language__maninka,test_n_language__pular,test_n_language__susu,test_n_speaker_gender__F,test_n_speaker_gender__M,test_n_speaker_mothertongue__maninka,test_n_speaker_mothertongue__pular,test_n_speaker_mothertongue__susu,train_acc,train_acc_device_id__d001,train_acc_device_id__d002,train_acc_device_id__d003,train_acc_language___language_independent,train_acc_language__francais,train_acc_language__maninka,train_acc_language__pular,train_acc_language__susu,train_acc_lng,train_acc_lng_device_id__d001,train_acc_lng_device_id__d002,train_acc_lng_device_id__d003,train_acc_lng_language___language_independent,train_acc_lng_language__francais,train_acc_lng_language__maninka,train_acc_lng_language__pular,train_acc_lng_language__susu,train_acc_lng_speaker_gender__F,train_acc_lng_speaker_gender__M,train_acc_lng_speaker_mothertongue__maninka,train_acc_lng_speaker_mothertongue__pular,train_acc_lng_speaker_mothertongue__susu,train_acc_speaker_gender__F,train_acc_speaker_gender__M,train_acc_speaker_mothertongue__maninka,train_acc_speaker_mothertongue__pular,train_acc_speaker_mothertongue__susu,train_loss,train_n,train_n_device_id__d001,train_n_device_id__d002,train_n_device_id__d003,train_n_language___language_independent,train_n_language__francais,train_n_language__maninka,train_n_language__pular,train_n_language__susu,train_n_speaker_gender__F,train_n_speaker_gender__M,train_n_speaker_mothertongue__maninka,train_n_speaker_mothertongue__pular,train_n_speaker_mothertongue__susu
1,0.015834348355663823,0.015719467956469165,0.016069221260815822,0.015719467956469165,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02142857142857143,0.012939001848428836,0.010638297872340425,0.01971830985915493,0.022222222222222223,4.622269550281668,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.04005722460658083,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012121212121212121,0.015723270440251572,0.015604681404421327,0.011278195488721804,0.019178082191780823,4.634845846846154,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
2,0.015834348355663823,0.015719467956469165,0.016069221260815822,0.015719467956469165,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02142857142857143,0.012939001848428836,0.010638297872340425,0.01971830985915493,0.022222222222222223,4.574081166895047,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.04005722460658083,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.012121212121212121,0.015723270440251572,0.015604681404421327,0.011278195488721804,0.019178082191780823,4.608523772287731,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
3,0.017458384084449857,0.018137847642079808,0.016069221260815822,0.018137847642079808,0.0441025641025641,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02142857142857143,0.015403573629081947,0.012411347517730497,0.020657276995305163,0.025925925925925925,4.550373407287226,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.01828847481021394,0.018115942028985508,0.020186335403726708,0.016563146997929608,0.050548402479732954,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.014141414141414142,0.020440251572327043,0.018638925010836586,0.017126148705096073,0.02009132420091324,4.595229660255321,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
4,0.015834348355663823,0.015719467956469165,0.016069221260815822,0.015719467956469165,0.04,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02142857142857143,0.012939001848428836,0.010638297872340425,0.01971830985915493,0.022222222222222223,4.5344548537099065,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.014837819185645272,0.014492753623188406,0.015010351966873706,0.015010351966873706,0.04005722460658083,0.0,0.0021929824561403508,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.013131313131313131,0.015723270440251572,0.015604681404421327,0.01211361737677527,0.019178082191780823,4.574922739348796,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
5,0.024360535931790498,0.02418379685610641,0.023485784919653894,0.02539298669891173,0.04717948717948718,0.04093567251461988,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02142857142857143,0.025878003696857672,0.015957446808510637,0.030985915492957747,0.03333333333333333,4.480641125374289,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.025879917184265012,0.024844720496894408,0.025879917184265012,0.026915113871635612,0.05484024797329518,0.03812636165577342,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.026767676767676767,0.02541928721174004,0.025574338968357174,0.022138680033416874,0.034703196347031964,4.517945494299679,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
6,0.028420625253755584,0.02781136638452237,0.029666254635352288,0.02781136638452237,0.05333333333333334,0.05263157894736842,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.025,0.030191004313000615,0.022163120567375887,0.030985915492957747,0.044444444444444446,4.347780203654715,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.033126293995859216,0.03364389233954451,0.033126293995859216,0.03260869565217391,0.06866952789699571,0.05228758169934641,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.030303030303030304,0.03459119496855346,0.03337667967056784,0.02756892230576441,0.04474885844748858,4.372096049201497,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
7,0.05278116118554608,0.04836759371221282,0.04697156983930779,0.06287787182587666,0.09641025641025641,0.04678362573099415,0.0045045045045045045,0.0,0.030303030303030304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05,0.054220579174368455,0.038120567375886524,0.06291079812206572,0.07407407407407407,4.125141448912657,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.05348516218081435,0.052795031055900624,0.05538302277432712,0.05227743271221532,0.11063423938960419,0.05010893246187364,0.005482456140350877,0.0,0.025280898876404494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.04696969696969697,0.056865828092243186,0.05028175119202427,0.043859649122807015,0.08127853881278539,4.148696025377146,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
8,0.06739748274462039,0.06529625151148731,0.0630407911001236,0.07376058041112454,0.11384615384615385,0.08187134502923976,0.018018018018018018,0.0,0.03198653198653199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.075,0.06346272335181762,0.04609929078014184,0.08826291079812207,0.07407407407407407,3.9495599818723357,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.06573498964803312,0.06625258799171843,0.06780538302277432,0.06314699792960662,0.12303290414878398,0.07298474945533769,0.007675438596491228,0.0,0.04588014981273408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05454545454545454,0.07154088050314465,0.05808409189423494,0.05973266499582289,0.09497716894977169,3.9391941678696782,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
9,0.07145757206658547,0.06771463119709795,0.07169344870210136,0.07496977025392987,0.1282051282051282,0.06725146198830409,0.009009009009009009,0.009259259259259259,0.03872053872053872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0880952380952381,0.06284658040665435,0.04609929078014184,0.10046948356807511,0.06296296296296296,3.817585123103177,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.08367839889579021,0.08074534161490683,0.08592132505175984,0.08436853002070394,0.1568907963757749,0.06318082788671024,0.006578947368421052,0.0299625468164794,0.06367041198501873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07121212121212121,0.09014675052410902,0.0775899436497616,0.07142857142857142,0.1232876712328767,3.791979371802078,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
10,0.09744214372716199,0.094316807738815,0.09023485784919653,0.10761789600967352,0.1641025641025641,0.05847953216374269,0.033783783783783786,0.037037037037037035,0.06902356902356903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11190476190476191,0.08995686999383858,0.0726950354609929,0.11643192488262911,0.1259259259259259,3.6934076975963004,2463,827,809,827,975,342,444,108,594,840,1623,1128,1065,270,0.09316770186335403,0.09627329192546584,0.09627329192546584,0.08695652173913043,0.16070577014783025,0.05555555555555555,0.019736842105263157,0.05368289637952559,0.0852059925093633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.07222222222222222,0.1040356394129979,0.0858257477243173,0.08187134502923976,0.13333333333333333,3.6599833907712487,5796,1932,1932,1932,2097,918,912,801,1068,1980,3816,2307,2394,1095
